GTEX-XQ3S	GTEX-XQ3S-0006-SM-4BOQ4	SRR8231060
GTEX-XQ8I	GTEX-XQ8I-0006-SM-4BOQ5	SRR8231078
GTEX-XUW1	GTEX-XUW1-0005-SM-4BOQ7	SRR8231128
GTEX-XUZC	GTEX-XUZC-0005-SM-4BOQ8	SRR8231154
GTEX-XXEK	GTEX-XXEK-0005-SM-4BRWJ	SRR8231202
GTEX-XYKS	GTEX-XYKS-0005-SM-4BRUD	SRR8231226
GTEX-Y111	GTEX-Y111-0006-SM-4SOIO	SRR8231249
GTEX-Y114	GTEX-Y114-0006-SM-4TT76	SRR8231271
GTEX-Y3I4	GTEX-Y3I4-0006-SM-4TT1E	SRR8231298
GTEX-Y3IK	GTEX-Y3IK-0005-SM-4WWDE	SRR8231324
GTEX-Y5LM	GTEX-Y5LM-0005-SM-4V6EJ	SRR8231352
GTEX-Y5V5	GTEX-Y5V5-0006-SM-4V6FE	SRR8231376
GTEX-Y5V6	GTEX-Y5V6-0005-SM-4V6FD	SRR8231397
GTEX-Y8DK	GTEX-Y8DK-0005-SM-4RGNR	SRR8231422
GTEX-Y8E4	GTEX-Y8E4-0006-SM-4V6EW	SRR8231438
GTEX-Y8LW	GTEX-Y8LW-0005-SM-4V6EV	SRR8231468
GTEX-Y9LG	GTEX-Y9LG-0006-SM-4VBRK	SRR8231489
GTEX-YEC3	GTEX-YEC3-0005-SM-4W21J	SRR8231563
GTEX-YEC4	GTEX-YEC4-0001-SM-4W1Y6	SRR8231598
GTEX-YECK	GTEX-YECK-0005-SM-4W217	SRR8231625
GTEX-YF7O	GTEX-YF7O-0005-SM-4W1ZU	SRR8231641
GTEX-YFC4	GTEX-YFC4-0006-SM-4RGLV	SRR8231664
GTEX-YFCO	GTEX-YFCO-0005-SM-4W1ZI	SRR8231699
GTEX-Z93S	GTEX-Z93S-0005-SM-4RGLW	SRR8231761
GTEX-ZAB4	GTEX-ZAB4-0005-SM-4RGM8	SRR8231818
GTEX-ZC5H	GTEX-ZC5H-0005-SM-4WAXM	SRR8231912
GTEX-ZDTS	GTEX-ZDTS-0006-SM-4WAYZ	SRR8231934
GTEX-ZDTT	GTEX-ZDTT-0006-SM-4WKFP	SRR8231956
GTEX-ZDXO	GTEX-ZDXO-0006-SM-4WKGF	SRR8231975
GTEX-ZDYS	GTEX-ZDYS-0002-SM-4WKGR	SRR8232001
GTEX-ZE7O	GTEX-ZE7O-0006-SM-51MTA	SRR8232026
GTEX-ZEX8	GTEX-ZEX8-0005-SM-4WKGE	SRR8232069
GTEX-ZF28	GTEX-ZF28-0005-SM-4WKH3	SRR8232088
GTEX-ZF29	GTEX-ZF29-0006-SM-4WKGQ	SRR8232111
GTEX-ZF2S	GTEX-ZF2S-0006-SM-4WKHF	SRR8232133
GTEX-ZF3C	GTEX-ZF3C-0005-SM-4WWAR	SRR8232159
GTEX-ZG7Y	GTEX-ZG7Y-0006-SM-4WWEA	SRR8232173
GTEX-ZGAY	GTEX-ZGAY-0006-SM-4WWAQ	SRR8232183
GTEX-ZLV1	GTEX-ZLV1-0005-SM-4WWAP	SRR8232214
GTEX-ZP4G	GTEX-ZP4G-0006-SM-4WWE6	SRR8232249
GTEX-ZPCL	GTEX-ZPCL-0006-SM-4WWAS	SRR8232274
GTEX-ZPIC	GTEX-ZPIC-0005-SM-4WWEB	SRR8232290
GTEX-ZPU1	GTEX-ZPU1-0006-SM-4WWAT	SRR8232310
GTEX-ZQG8	GTEX-ZQG8-0005-SM-4YCEH	SRR8232337
GTEX-ZQUD	GTEX-ZQUD-0005-SM-4YCE5	SRR8232356
GTEX-ZT9W	GTEX-ZT9W-0005-SM-4YCEG	SRR8232379
GTEX-ZTPG	GTEX-ZTPG-0006-SM-4YCFG	SRR8232415
GTEX-ZTSS	GTEX-ZTSS-0005-SM-4YCDR	SRR8232436
GTEX-ZTTD	GTEX-ZTTD-0006-SM-51MSJ	SRR8232452
GTEX-ZTX8	GTEX-ZTX8-0006-SM-4YCE4	SRR8232466
GTEX-ZUA1	GTEX-ZUA1-0005-SM-4YCEV	SRR8232488
GTEX-ZV68	GTEX-ZV68-0006-SM-4YCEJ	SRR8232517
GTEX-ZV7C	GTEX-ZV7C-0005-SM-57WDL	SRR8232546
