Run	Sample_Name	body_site	submitted_subject_id
SRR1404003	GTEX-132NY-0326-SM-5IJBL	Skin - Sun Exposed (Lower leg)	GTEX-132NY
SRR8220208	GTEX-132NY-0326-SM-5IJBL	Skin - Sun Exposed (Lower leg)	GTEX-132NY
SRR1404024	GTEX-1269C-0003-SM-5S2PB	Cells - EBV-transformed lymphocytes	GTEX-1269C
SRR8219449	GTEX-1269C-0003-SM-5S2PB	Cells - EBV-transformed lymphocytes	GTEX-1269C
SRR1404044	GTEX-13QBU-0626-SM-5J2OG	Thyroid	GTEX-13QBU
SRR8221572	GTEX-13QBU-0626-SM-5J2OG	Thyroid	GTEX-13QBU
SRR1404062	GTEX-12696-1726-SM-5EQLH	Stomach	GTEX-12696
SRR8219437	GTEX-12696-1726-SM-5EQLH	Stomach	GTEX-12696
SRR1404084	GTEX-139T8-0326-SM-5IJCM	Nerve - Tibial	GTEX-139T8
SRR8220450	GTEX-139T8-0326-SM-5IJCM	Nerve - Tibial	GTEX-139T8
SRR1404105	GTEX-1399R-0626-SM-5K7UZ	Artery - Aorta	GTEX-1399R
SRR8220312	GTEX-1399R-0626-SM-5K7UZ	Artery - Aorta	GTEX-1399R
SRR1404123	GTEX-Y9LG-0526-SM-4VBRY	Lung	GTEX-Y9LG
SRR8231494	GTEX-Y9LG-0526-SM-4VBRY	Lung	GTEX-Y9LG
SRR1404147	GTEX-YEC3-1426-SM-5PNXW	Stomach	GTEX-YEC3
SRR8231585	GTEX-YEC3-1426-SM-5PNXW	Stomach	GTEX-YEC3
SRR1404168	GTEX-YFC4-3026-SM-5IFJK	Brain - Cerebellum	GTEX-YFC4
SRR8231695	GTEX-YFC4-3026-SM-5IFJK	Brain - Cerebellum	GTEX-YFC4
SRR1404186	GTEX-ZTTD-2626-SM-57WEX	Colon - Sigmoid	GTEX-ZTTD
SRR8232462	GTEX-ZTTD-2626-SM-57WEX	Colon - Sigmoid	GTEX-ZTTD
SRR1404209	GTEX-13NZB-2426-SM-5K7UF	Adipose - Subcutaneous	GTEX-13NZB
SRR8221085	GTEX-13NZB-2426-SM-5K7UF	Adipose - Subcutaneous	GTEX-13NZB
SRR1404227	GTEX-WQUQ-1926-SM-4OOSA	Liver	GTEX-WQUQ
SRR8230373	GTEX-WQUQ-1926-SM-4OOSA	Liver	GTEX-WQUQ
SRR1404251	GTEX-ZAK1-1126-SM-5PNXU	Heart - Atrial Appendage	GTEX-ZAK1
SRR8231899	GTEX-ZAK1-1126-SM-5PNXU	Heart - Atrial Appendage	GTEX-ZAK1
SRR1404274	GTEX-13O3Q-0126-SM-5KM34	Skin - Not Sun Exposed (Suprapubic)	GTEX-13O3Q
SRR8221181	GTEX-13O3Q-0126-SM-5KM34	Skin - Not Sun Exposed (Suprapubic)	GTEX-13O3Q
SRR1404293	GTEX-ZYY3-0926-SM-5E454	Lung	GTEX-ZYY3
SRR8232904	GTEX-ZYY3-0926-SM-5E454	Lung	GTEX-ZYY3
SRR1404316	GTEX-ZZPU-1826-SM-5E43L	Esophagus - Muscularis	GTEX-ZZPU
SRR8232954	GTEX-ZZPU-1826-SM-5E43L	Esophagus - Muscularis	GTEX-ZZPU
SRR1404339	GTEX-ZPU1-2326-SM-57WEP	Minor Salivary Gland	GTEX-ZPU1
